
2024/09/04 (09:13:01) | ===> btop++ v.1.3.2
2024/09/04 (09:13:01) | ERROR: Stall in Runner thread, restarting!

2024/09/14 (17:56:54) | ===> btop++ v.1.3.2
2024/09/14 (17:56:54) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/06 (10:43:18) | ===> btop++ v.1.4.0
2024/12/06 (10:43:18) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/06 (10:43:47) | ===> btop++ v.1.4.0
2024/12/06 (10:43:47) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/20 (11:48:52) | ===> btop++ v.1.4.0
2024/12/20 (11:48:52) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/23 (09:41:38) | ===> btop++ v.1.4.0
2024/12/23 (09:41:38) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/23 (09:42:43) | ===> btop++ v.1.4.0
2024/12/23 (09:42:43) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/23 (22:53:31) | ===> btop++ v.1.4.0
2024/12/23 (22:53:31) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/03 (21:24:19) | ===> btop++ v.1.4.0
2025/01/03 (21:24:19) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/07 (15:32:15) | ===> btop++ v.1.4.0
2025/01/07 (15:32:15) | ERROR: Exception during Config::unlock() : unordered_map::at
